id,label
0,4
1,1
2,4
3,2
4,2
5,2
6,2
7,4
8,1
9,2
10,3
11,1
12,1
13,4
14,5
15,1
16,4
17,2
18,1
19,4
20,2
21,5
22,3
23,4
24,4
25,4
26,2
27,3
28,4
29,2
30,3
31,4
32,3
33,5
34,3
35,1
36,1
37,1
38,4
39,2
40,5
41,4
42,2
43,1
44,5
45,5
46,2
47,4
48,2
49,2
50,2
51,2
52,3
53,3
54,4
55,2
56,1
57,1
58,3
59,2
60,3
61,1
62,1
63,1
64,3
65,5
66,4
67,2
68,3
69,1
70,1
71,4
72,3
73,1
74,1
75,4
76,4
77,2
78,3
79,1
80,4
81,2
82,4
83,3
84,2
85,4
86,2
87,1
88,1
89,3
90,1
91,2
92,1
93,1
94,2
95,5
96,2
97,3
98,1
99,2
100,1
101,3
102,3
103,1
104,2
105,4
106,1
107,2
108,1
109,4
110,5
111,5
112,3
113,4
114,2
115,1
116,4
117,1
118,4
119,4
120,4
121,2
122,4
123,5
124,2
125,5
126,5
127,5
128,4
129,4
130,2
131,3
132,4
133,5
134,1
135,2
136,5
137,3
138,2
139,1
140,3
141,5
142,3
143,4
144,2
145,1
146,1
147,1
148,2
149,4
150,5
151,5
152,2
153,1
154,1
155,5
156,4
157,1
158,5
159,2
160,2
161,3
162,1
163,2
164,2
165,1
166,3
167,2
168,1
169,1
170,1
171,2
172,5
173,4
174,4
175,3
176,1
177,1
178,1
179,1
180,5
181,5
182,4
183,4
184,3
185,1
186,1
187,4
188,3
189,3
190,4
191,5
192,2
193,2
194,2
195,4
196,4
197,3
198,3
199,5
200,4
201,5
202,4
203,1
204,5
205,1
206,1
207,1
208,1
209,4
210,3
211,1
212,2
213,3
214,1
215,2
216,3
217,2
218,2
219,3
220,4
221,3
222,1
223,4
224,3
225,1
226,3
227,1
228,3
229,3
230,3
231,1
232,1
233,1
234,2
235,1
236,3
237,4
238,4
239,3
240,5
241,2
242,1
243,5
244,4
245,1
246,3
247,4
248,5
249,1
250,4
251,2
252,3
253,1
254,1
255,1
256,2
257,2
258,2
259,2
260,1
261,3
262,1
263,1
264,2
265,1
266,2
267,4
268,2
269,3
270,1
271,2
272,5
273,3
274,3
275,2
276,4
277,3
278,1
279,4
280,5
281,2
282,3
283,2
284,2
285,2
286,5
287,1
288,1
289,2
290,5
291,1
292,2
293,3
294,4
295,1
296,2
297,2
298,1
299,3
300,2
301,3
302,1
303,1
304,4
305,5
306,2
307,2
308,1
309,1
310,2
311,5
312,3
313,1
314,5
315,3
316,2
317,1
318,2
319,4
320,4
321,5
322,5
323,4
324,3
325,4
326,2
327,3
328,2
329,1
330,5
331,4
332,2
333,1
334,5
335,1
336,1
337,1
338,2
339,3
340,1
341,2
342,3
343,2
344,3
345,2
346,1
347,3
348,2
349,4
350,5
351,4
352,2
353,5
354,2
355,3
356,4
357,2
358,4
359,2
360,1
361,2
362,4
363,1
364,4
365,2
366,4
367,2
368,1
369,1
370,4
371,4
372,4
373,4
374,3
375,1
376,1
377,2
378,3
379,3
380,1
381,5
382,2
383,2
384,2
385,5
386,5
387,4
388,1
389,1
390,4
391,1
392,2
393,1
394,5
395,1
396,2
397,1
398,1
399,1
400,4
401,1
402,5
403,2
404,5
405,4
406,4
407,3
408,4
409,2
410,4
411,4
412,2
413,3
414,4
415,1
416,4
417,4
418,2
419,1
420,5
421,1
422,4
423,1
424,2
425,2
426,4
427,3
428,4
429,1
430,5
431,3
432,1
433,3
434,1
435,3
436,4
437,5
438,2
439,2
440,1
441,1
442,1
443,1
444,2
445,2
446,3
447,1
448,4
449,4
450,4
451,1
452,1
453,4
454,4
455,2
456,1
457,2
458,3
459,2
460,2
461,1
462,1
463,1
464,3
465,2
466,5
467,5
468,2
469,1
470,1
471,4
472,4
473,1
474,1
475,5
476,5
477,2
478,4
479,2
480,4
481,3
482,5
483,2
484,1
485,2
486,2
487,4
488,3
489,1
490,2
491,3
492,1
493,2
494,2
495,3
496,3
497,2
498,3
499,1
500,4
501,4
502,1
503,5
504,2
505,4
506,4
507,1
508,2
509,4
510,3
511,3
512,4
513,2
514,4
515,3
516,3
517,1
518,2
519,3
520,3
521,2
522,4
523,4
524,2
525,2
526,3
527,1
528,4
529,4
530,3
531,1
532,4
533,3
